startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-13T22:13:04.433Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,10000,10,10000,10,2020-10-13T22:13:18.735Z,2020-10-13T22:13:18.744Z,2020-10-13T22:13:18.744Z,2020-10-13T22:13:18.748Z,2020-10-13T22:13:18.748Z,2020-10-13T22:13:18.750Z,2020-10-13T22:13:18.750Z,2020-10-13T22:13:18.755Z,2020-10-13T22:13:18.755Z,2020-10-13T22:13:18.759Z,2020-10-13T22:13:18.761Z,2020-10-13T22:13:18.543Z,2020-10-13T22:13:18.544Z,2020-10-13T22:13:18.719Z,2020-10-13T22:13:18.768Z,,,2020-10-13T22:13:20.055Z,8.747963905334473
2020-10-13T22:13:29.009Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,10000,20,10000,20,2020-10-13T22:13:43.709Z,2020-10-13T22:13:43.727Z,2020-10-13T22:13:43.727Z,2020-10-13T22:13:43.734Z,2020-10-13T22:13:43.734Z,2020-10-13T22:13:43.737Z,2020-10-13T22:13:43.738Z,2020-10-13T22:13:43.747Z,2020-10-13T22:13:43.747Z,2020-10-13T22:13:43.755Z,2020-10-13T22:13:43.756Z,2020-10-13T22:13:43.268Z,2020-10-13T22:13:43.269Z,2020-10-13T22:13:43.687Z,2020-10-13T22:13:43.764Z,,,2020-10-13T22:13:45.189Z,8.751052021980286
2020-10-13T22:13:58.536Z,"iPhone12,3",14.0.0,psi,receiver,10489137.0,15000,1,15000,1,2020-10-13T22:14:15.371Z,2020-10-13T22:14:15.372Z,2020-10-13T22:14:15.372Z,2020-10-13T22:14:15.372Z,2020-10-13T22:14:15.372Z,2020-10-13T22:14:15.375Z,2020-10-13T22:14:15.376Z,2020-10-13T22:14:15.376Z,2020-10-13T22:14:15.376Z,2020-10-13T22:14:15.377Z,2020-10-13T22:14:15.379Z,2020-10-13T22:14:15.167Z,2020-10-13T22:14:15.169Z,2020-10-13T22:14:15.353Z,2020-10-13T22:14:15.390Z,,,2020-10-13T22:14:16.683Z,13.102764010429382
2020-10-13T22:14:30.086Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,15000,10,15000,10,2020-10-13T22:14:47.431Z,2020-10-13T22:14:47.438Z,2020-10-13T22:14:47.438Z,2020-10-13T22:14:47.442Z,2020-10-13T22:14:47.442Z,2020-10-13T22:14:47.445Z,2020-10-13T22:14:47.445Z,2020-10-13T22:14:47.449Z,2020-10-13T22:14:47.449Z,2020-10-13T22:14:47.453Z,2020-10-13T22:14:47.455Z,2020-10-13T22:14:47.216Z,2020-10-13T22:14:47.217Z,2020-10-13T22:14:47.411Z,2020-10-13T22:14:47.466Z,,,2020-10-13T22:14:48.848Z,13.153562068939209
2020-10-13T22:15:02.349Z,"iPhone12,3",14.0.0,psi,receiver,10489141.0,15000,20,15000,20,2020-10-13T22:15:19.415Z,2020-10-13T22:15:19.429Z,2020-10-13T22:15:19.429Z,2020-10-13T22:15:19.436Z,2020-10-13T22:15:19.436Z,2020-10-13T22:15:19.439Z,2020-10-13T22:15:19.439Z,2020-10-13T22:15:19.447Z,2020-10-13T22:15:19.447Z,2020-10-13T22:15:19.455Z,2020-10-13T22:15:19.457Z,2020-10-13T22:15:19.187Z,2020-10-13T22:15:19.188Z,2020-10-13T22:15:19.393Z,2020-10-13T22:15:19.468Z,,,2020-10-13T22:15:21.014Z,13.136633038520813
2020-10-13T22:15:21.127Z,"iPhone12,3",14.0.0,psi,receiver,10489137.0,100,1,100,1,2020-10-13T22:15:30.319Z,2020-10-13T22:15:30.321Z,2020-10-13T22:15:30.321Z,2020-10-13T22:15:30.323Z,2020-10-13T22:15:30.323Z,2020-10-13T22:15:30.323Z,2020-10-13T22:15:30.323Z,2020-10-13T22:15:30.325Z,2020-10-13T22:15:30.325Z,2020-10-13T22:15:30.326Z,2020-10-13T22:15:30.326Z,2020-10-13T22:15:30.207Z,2020-10-13T22:15:30.208Z,2020-10-13T22:15:30.318Z,2020-10-13T22:15:30.328Z,,,2020-10-13T22:15:31.299Z,0.0878990888595581
2020-10-13T22:15:31.475Z,"iPhone12,3",14.0.0,psi,receiver,10489139.0,100,10,100,10,2020-10-13T22:15:41.362Z,2020-10-13T22:15:41.381Z,2020-10-13T22:15:41.381Z,2020-10-13T22:15:41.388Z,2020-10-13T22:15:41.388Z,2020-10-13T22:15:41.388Z,2020-10-13T22:15:41.389Z,2020-10-13T22:15:41.397Z,2020-10-13T22:15:41.397Z,2020-10-13T22:15:41.402Z,2020-10-13T22:15:41.402Z,2020-10-13T22:15:41.230Z,2020-10-13T22:15:41.231Z,2020-10-13T22:15:41.354Z,2020-10-13T22:15:41.403Z,,,2020-10-13T22:15:42.889Z,0.08764803409576416
2020-10-13T22:15:43.025Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,100,20,100,20,2020-10-13T22:15:52.414Z,2020-10-13T22:15:52.443Z,2020-10-13T22:15:52.443Z,2020-10-13T22:15:52.453Z,2020-10-13T22:15:52.453Z,2020-10-13T22:15:52.453Z,2020-10-13T22:15:52.453Z,2020-10-13T22:15:52.464Z,2020-10-13T22:15:52.464Z,2020-10-13T22:15:52.473Z,2020-10-13T22:15:52.473Z,2020-10-13T22:15:52.265Z,2020-10-13T22:15:52.267Z,2020-10-13T22:15:52.402Z,2020-10-13T22:15:52.474Z,,,2020-10-13T22:15:53.976Z,0.08792698383331299
2020-10-13T22:15:54.943Z,"iPhone12,3",14.0.0,psi,receiver,10489139.0,1000,1,1000,1,2020-10-13T22:16:03.923Z,2020-10-13T22:16:03.925Z,2020-10-13T22:16:03.925Z,2020-10-13T22:16:03.926Z,2020-10-13T22:16:03.926Z,2020-10-13T22:16:03.926Z,2020-10-13T22:16:03.927Z,2020-10-13T22:16:03.929Z,2020-10-13T22:16:03.929Z,2020-10-13T22:16:03.930Z,2020-10-13T22:16:03.930Z,2020-10-13T22:16:03.797Z,2020-10-13T22:16:03.799Z,2020-10-13T22:16:03.918Z,2020-10-13T22:16:03.933Z,,,2020-10-13T22:16:05.429Z,0.8639539480209351
2020-10-13T22:16:06.365Z,"iPhone12,3",14.0.0,psi,receiver,10489145.0,1000,10,1000,10,2020-10-13T22:16:16.035Z,2020-10-13T22:16:16.051Z,2020-10-13T22:16:16.051Z,2020-10-13T22:16:16.058Z,2020-10-13T22:16:16.058Z,2020-10-13T22:16:16.058Z,2020-10-13T22:16:16.059Z,2020-10-13T22:16:16.065Z,2020-10-13T22:16:16.065Z,2020-10-13T22:16:16.071Z,2020-10-13T22:16:16.071Z,2020-10-13T22:16:15.893Z,2020-10-13T22:16:15.894Z,2020-10-13T22:16:16.025Z,2020-10-13T22:16:16.073Z,,,2020-10-13T22:16:17.453Z,0.8819971084594727
