startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,StartedBrowsingBonjour,DiscoveredReceiverBonjour,SendingStartPSIRequest,ReceivedStartPSIResponse,SendingFinishPSIRequest,ReceivedFinishPSIResponse,SendingDiscoverRequest,ReceivedDiscoverResponse,StartsSendingFile,UploadFinished,precomputationDuration,DiscoverCompleted
2020-10-09T07:18:53.652Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489137.0,10000,10,10000,10,2020-10-09T07:18:59.513Z,2020-10-09T07:18:59.524Z,2020-10-09T07:18:59.524Z,2020-10-09T07:18:59.534Z,2020-10-09T07:18:59.534Z,2020-10-09T07:18:59.537Z,2020-10-09T07:18:59.257Z,2020-10-09T07:18:59.267Z,2020-10-09T07:18:59.267Z,2020-10-09T07:18:59.277Z,2020-10-09T07:18:59.537Z,2020-10-09T07:18:59.138Z,2020-10-09T07:18:59.151Z,2020-10-09T07:18:59.151Z,2020-10-09T07:18:59.256Z,2020-10-09T07:18:59.288Z,2020-10-09T07:18:59.490Z,,,2020-10-09T07:18:59.622Z,2020-10-09T07:19:00.483Z,13.983911991119385,2020-10-09T07:18:59.568Z
2020-10-09T07:19:14.778Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489145.0,10000,20,10000,20,2020-10-09T07:19:20.681Z,2020-10-09T07:19:20.703Z,2020-10-09T07:19:20.703Z,2020-10-09T07:19:20.720Z,2020-10-09T07:19:20.720Z,2020-10-09T07:19:20.723Z,2020-10-09T07:19:20.390Z,2020-10-09T07:19:20.406Z,2020-10-09T07:19:20.406Z,2020-10-09T07:19:20.423Z,2020-10-09T07:19:20.723Z,2020-10-09T07:19:20.269Z,2020-10-09T07:19:20.282Z,2020-10-09T07:19:20.282Z,2020-10-09T07:19:20.389Z,2020-10-09T07:19:20.434Z,2020-10-09T07:19:20.658Z,,,2020-10-09T07:19:20.809Z,2020-10-09T07:19:21.668Z,14.069756984710693,2020-10-09T07:19:20.754Z
2020-10-09T07:19:43.493Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489140.0,15000,1,15000,1,2020-10-09T07:19:49.355Z,2020-10-09T07:19:49.356Z,2020-10-09T07:19:49.356Z,2020-10-09T07:19:49.357Z,2020-10-09T07:19:49.357Z,2020-10-09T07:19:49.362Z,2020-10-09T07:19:49.099Z,2020-10-09T07:19:49.100Z,2020-10-09T07:19:49.100Z,2020-10-09T07:19:49.108Z,2020-10-09T07:19:49.362Z,2020-10-09T07:19:48.977Z,2020-10-09T07:19:48.990Z,2020-10-09T07:19:48.990Z,2020-10-09T07:19:49.098Z,2020-10-09T07:19:49.125Z,2020-10-09T07:19:49.329Z,,,2020-10-09T07:19:49.446Z,2020-10-09T07:19:50.292Z,21.5314519405365,2020-10-09T07:19:49.395Z
2020-10-09T07:20:11.496Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489142.0,15000,10,15000,10,2020-10-09T07:20:17.383Z,2020-10-09T07:20:17.394Z,2020-10-09T07:20:17.394Z,2020-10-09T07:20:17.403Z,2020-10-09T07:20:17.403Z,2020-10-09T07:20:17.409Z,2020-10-09T07:20:17.100Z,2020-10-09T07:20:17.110Z,2020-10-09T07:20:17.110Z,2020-10-09T07:20:17.122Z,2020-10-09T07:20:17.409Z,2020-10-09T07:20:16.978Z,2020-10-09T07:20:16.991Z,2020-10-09T07:20:16.991Z,2020-10-09T07:20:17.100Z,2020-10-09T07:20:17.138Z,2020-10-09T07:20:17.355Z,,,2020-10-09T07:20:17.492Z,2020-10-09T07:20:18.324Z,20.905147910118103,2020-10-09T07:20:17.439Z
2020-10-09T07:20:39.593Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489142.0,15000,20,15000,20,2020-10-09T07:20:45.499Z,2020-10-09T07:20:45.520Z,2020-10-09T07:20:45.520Z,2020-10-09T07:20:45.538Z,2020-10-09T07:20:45.538Z,2020-10-09T07:20:45.544Z,2020-10-09T07:20:45.185Z,2020-10-09T07:20:45.203Z,2020-10-09T07:20:45.203Z,2020-10-09T07:20:45.220Z,2020-10-09T07:20:45.544Z,2020-10-09T07:20:45.069Z,2020-10-09T07:20:45.081Z,2020-10-09T07:20:45.082Z,2020-10-09T07:20:45.185Z,2020-10-09T07:20:45.234Z,2020-10-09T07:20:45.469Z,,,2020-10-09T07:20:45.630Z,2020-10-09T07:20:46.480Z,20.958144068717957,2020-10-09T07:20:45.576Z
2020-10-09T07:20:46.653Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489144.0,100,1,100,1,2020-10-09T07:20:52.375Z,2020-10-09T07:20:52.377Z,2020-10-09T07:20:52.377Z,2020-10-09T07:20:52.378Z,2020-10-09T07:20:52.378Z,2020-10-09T07:20:52.378Z,2020-10-09T07:20:52.259Z,2020-10-09T07:20:52.260Z,2020-10-09T07:20:52.260Z,2020-10-09T07:20:52.262Z,2020-10-09T07:20:52.378Z,2020-10-09T07:20:52.141Z,2020-10-09T07:20:52.150Z,2020-10-09T07:20:52.150Z,2020-10-09T07:20:52.258Z,2020-10-09T07:20:52.262Z,2020-10-09T07:20:52.374Z,,,2020-10-09T07:20:52.484Z,2020-10-09T07:20:53.328Z,0.14942896366119385,2020-10-09T07:20:52.417Z
2020-10-09T07:20:53.504Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489140.0,100,10,100,10,2020-10-09T07:20:59.279Z,2020-10-09T07:20:59.294Z,2020-10-09T07:20:59.294Z,2020-10-09T07:20:59.304Z,2020-10-09T07:20:59.304Z,2020-10-09T07:20:59.304Z,2020-10-09T07:20:59.111Z,2020-10-09T07:20:59.121Z,2020-10-09T07:20:59.121Z,2020-10-09T07:20:59.128Z,2020-10-09T07:20:59.304Z,2020-10-09T07:20:58.992Z,2020-10-09T07:20:59.002Z,2020-10-09T07:20:59.002Z,2020-10-09T07:20:59.110Z,2020-10-09T07:20:59.128Z,2020-10-09T07:20:59.275Z,,,2020-10-09T07:20:59.388Z,2020-10-09T07:21:00.369Z,0.14152097702026367,2020-10-09T07:20:59.336Z
2020-10-09T07:21:00.557Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489142.0,100,20,100,20,2020-10-09T07:21:06.352Z,2020-10-09T07:21:06.378Z,2020-10-09T07:21:06.378Z,2020-10-09T07:21:06.398Z,2020-10-09T07:21:06.398Z,2020-10-09T07:21:06.398Z,2020-10-09T07:21:06.141Z,2020-10-09T07:21:06.158Z,2020-10-09T07:21:06.158Z,2020-10-09T07:21:06.172Z,2020-10-09T07:21:06.398Z,2020-10-09T07:21:06.023Z,2020-10-09T07:21:06.032Z,2020-10-09T07:21:06.032Z,2020-10-09T07:21:06.140Z,2020-10-09T07:21:06.172Z,2020-10-09T07:21:06.344Z,,,2020-10-09T07:21:06.476Z,2020-10-09T07:21:07.305Z,0.138092041015625,2020-10-09T07:21:06.430Z
2020-10-09T07:21:08.714Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489143.0,1000,1,1000,1,2020-10-09T07:21:14.405Z,2020-10-09T07:21:14.407Z,2020-10-09T07:21:14.407Z,2020-10-09T07:21:14.408Z,2020-10-09T07:21:14.408Z,2020-10-09T07:21:14.409Z,2020-10-09T07:21:14.282Z,2020-10-09T07:21:14.283Z,2020-10-09T07:21:14.283Z,2020-10-09T07:21:14.285Z,2020-10-09T07:21:14.409Z,2020-10-09T07:21:14.165Z,2020-10-09T07:21:14.174Z,2020-10-09T07:21:14.174Z,2020-10-09T07:21:14.281Z,2020-10-09T07:21:14.286Z,2020-10-09T07:21:14.402Z,,,2020-10-09T07:21:14.499Z,2020-10-09T07:21:15.359Z,1.3684849739074707,2020-10-09T07:21:14.442Z
2020-10-09T07:21:16.783Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),psi,sender,10489142.0,1000,10,1000,10,2020-10-09T07:21:22.574Z,2020-10-09T07:21:22.587Z,2020-10-09T07:21:22.587Z,2020-10-09T07:21:22.597Z,2020-10-09T07:21:22.597Z,2020-10-09T07:21:22.597Z,2020-10-09T07:21:22.397Z,2020-10-09T07:21:22.406Z,2020-10-09T07:21:22.406Z,2020-10-09T07:21:22.414Z,2020-10-09T07:21:22.597Z,2020-10-09T07:21:22.279Z,2020-10-09T07:21:22.289Z,2020-10-09T07:21:22.289Z,2020-10-09T07:21:22.396Z,2020-10-09T07:21:22.415Z,2020-10-09T07:21:22.566Z,,,2020-10-09T07:21:22.687Z,2020-10-09T07:21:23.531Z,1.370360016822815,2020-10-09T07:21:22.634Z
