startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-09T07:18:48.367Z,"iPhone12,3",14.0.0,psi,receiver,10489137.0,10000,10,10000,10,2020-10-09T07:18:59.443Z,2020-10-09T07:18:59.452Z,2020-10-09T07:18:59.452Z,2020-10-09T07:18:59.455Z,2020-10-09T07:18:59.455Z,2020-10-09T07:18:59.458Z,2020-10-09T07:18:59.458Z,2020-10-09T07:18:59.462Z,2020-10-09T07:18:59.462Z,2020-10-09T07:18:59.466Z,2020-10-09T07:18:59.468Z,2020-10-09T07:18:59.255Z,2020-10-09T07:18:59.256Z,2020-10-09T07:18:59.427Z,2020-10-09T07:18:59.476Z,,,2020-10-09T07:19:00.482Z,8.739382982254028
2020-10-09T07:19:09.422Z,"iPhone12,3",14.0.0,psi,receiver,10489145.0,10000,20,10000,20,2020-10-09T07:19:20.591Z,2020-10-09T07:19:20.607Z,2020-10-09T07:19:20.607Z,2020-10-09T07:19:20.614Z,2020-10-09T07:19:20.614Z,2020-10-09T07:19:20.616Z,2020-10-09T07:19:20.616Z,2020-10-09T07:19:20.625Z,2020-10-09T07:19:20.625Z,2020-10-09T07:19:20.632Z,2020-10-09T07:19:20.634Z,2020-10-09T07:19:20.387Z,2020-10-09T07:19:20.389Z,2020-10-09T07:19:20.573Z,2020-10-09T07:19:20.641Z,,,2020-10-09T07:19:21.667Z,8.756189942359924
2020-10-09T07:19:35.044Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,15000,1,15000,1,2020-10-09T07:19:49.289Z,2020-10-09T07:19:49.290Z,2020-10-09T07:19:49.290Z,2020-10-09T07:19:49.290Z,2020-10-09T07:19:49.290Z,2020-10-09T07:19:49.293Z,2020-10-09T07:19:49.293Z,2020-10-09T07:19:49.294Z,2020-10-09T07:19:49.294Z,2020-10-09T07:19:49.294Z,2020-10-09T07:19:49.297Z,2020-10-09T07:19:49.097Z,2020-10-09T07:19:49.098Z,2020-10-09T07:19:49.272Z,2020-10-09T07:19:49.307Z,,,2020-10-09T07:19:50.291Z,13.105999946594238
2020-10-09T07:20:03.648Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,15000,10,15000,10,2020-10-09T07:20:17.301Z,2020-10-09T07:20:17.308Z,2020-10-09T07:20:17.308Z,2020-10-09T07:20:17.312Z,2020-10-09T07:20:17.312Z,2020-10-09T07:20:17.315Z,2020-10-09T07:20:17.315Z,2020-10-09T07:20:17.319Z,2020-10-09T07:20:17.319Z,2020-10-09T07:20:17.323Z,2020-10-09T07:20:17.325Z,2020-10-09T07:20:17.098Z,2020-10-09T07:20:17.100Z,2020-10-09T07:20:17.282Z,2020-10-09T07:20:17.336Z,,,2020-10-09T07:20:18.323Z,13.108219981193542
2020-10-09T07:20:31.726Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,15000,20,15000,20,2020-10-09T07:20:45.396Z,2020-10-09T07:20:45.410Z,2020-10-09T07:20:45.410Z,2020-10-09T07:20:45.417Z,2020-10-09T07:20:45.417Z,2020-10-09T07:20:45.419Z,2020-10-09T07:20:45.420Z,2020-10-09T07:20:45.428Z,2020-10-09T07:20:45.428Z,2020-10-09T07:20:45.436Z,2020-10-09T07:20:45.438Z,2020-10-09T07:20:45.183Z,2020-10-09T07:20:45.185Z,2020-10-09T07:20:45.375Z,2020-10-09T07:20:45.449Z,,,2020-10-09T07:20:46.479Z,13.145236015319824
2020-10-09T07:20:46.591Z,"iPhone12,3",14.0.0,psi,receiver,10489144.0,100,1,100,1,2020-10-09T07:20:52.366Z,2020-10-09T07:20:52.368Z,2020-10-09T07:20:52.368Z,2020-10-09T07:20:52.369Z,2020-10-09T07:20:52.369Z,2020-10-09T07:20:52.369Z,2020-10-09T07:20:52.370Z,2020-10-09T07:20:52.371Z,2020-10-09T07:20:52.371Z,2020-10-09T07:20:52.372Z,2020-10-09T07:20:52.372Z,2020-10-09T07:20:52.257Z,2020-10-09T07:20:52.259Z,2020-10-09T07:20:52.364Z,2020-10-09T07:20:52.374Z,,,2020-10-09T07:20:53.327Z,0.08809399604797363
2020-10-09T07:20:53.453Z,"iPhone12,3",14.0.0,psi,receiver,10489140.0,100,10,100,10,2020-10-09T07:20:59.234Z,2020-10-09T07:20:59.252Z,2020-10-09T07:20:59.252Z,2020-10-09T07:20:59.259Z,2020-10-09T07:20:59.259Z,2020-10-09T07:20:59.259Z,2020-10-09T07:20:59.260Z,2020-10-09T07:20:59.267Z,2020-10-09T07:20:59.267Z,2020-10-09T07:20:59.273Z,2020-10-09T07:20:59.273Z,2020-10-09T07:20:59.109Z,2020-10-09T07:20:59.110Z,2020-10-09T07:20:59.227Z,2020-10-09T07:20:59.274Z,,,2020-10-09T07:21:00.368Z,0.08796894550323486
2020-10-09T07:21:00.516Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,100,20,100,20,2020-10-09T07:21:06.285Z,2020-10-09T07:21:06.314Z,2020-10-09T07:21:06.314Z,2020-10-09T07:21:06.324Z,2020-10-09T07:21:06.324Z,2020-10-09T07:21:06.324Z,2020-10-09T07:21:06.324Z,2020-10-09T07:21:06.334Z,2020-10-09T07:21:06.334Z,2020-10-09T07:21:06.343Z,2020-10-09T07:21:06.343Z,2020-10-09T07:21:06.139Z,2020-10-09T07:21:06.141Z,2020-10-09T07:21:06.273Z,2020-10-09T07:21:06.344Z,,,2020-10-09T07:21:07.304Z,0.08841204643249512
2020-10-09T07:21:08.222Z,"iPhone12,3",14.0.0,psi,receiver,10489143.0,1000,1,1000,1,2020-10-09T07:21:14.390Z,2020-10-09T07:21:14.393Z,2020-10-09T07:21:14.393Z,2020-10-09T07:21:14.394Z,2020-10-09T07:21:14.394Z,2020-10-09T07:21:14.394Z,2020-10-09T07:21:14.395Z,2020-10-09T07:21:14.396Z,2020-10-09T07:21:14.396Z,2020-10-09T07:21:14.397Z,2020-10-09T07:21:14.397Z,2020-10-09T07:21:14.280Z,2020-10-09T07:21:14.281Z,2020-10-09T07:21:14.386Z,2020-10-09T07:21:14.401Z,,,2020-10-09T07:21:15.358Z,0.8794460296630859
2020-10-09T07:21:16.270Z,"iPhone12,3",14.0.0,psi,receiver,10489142.0,1000,10,1000,10,2020-10-09T07:21:22.526Z,2020-10-09T07:21:22.541Z,2020-10-09T07:21:22.541Z,2020-10-09T07:21:22.548Z,2020-10-09T07:21:22.548Z,2020-10-09T07:21:22.549Z,2020-10-09T07:21:22.549Z,2020-10-09T07:21:22.555Z,2020-10-09T07:21:22.555Z,2020-10-09T07:21:22.561Z,2020-10-09T07:21:22.561Z,2020-10-09T07:21:22.395Z,2020-10-09T07:21:22.396Z,2020-10-09T07:21:22.517Z,2020-10-09T07:21:22.563Z,,,2020-10-09T07:21:23.531Z,0.8671040534973145
