startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,ReceivedStartPSIRequest,SentStartPSIResponse,ReceivedFinishPSIRequest,SentFinishPSIResponse,ReceivedDiscoverRequest,SentDiscoverResponse,UploadFinished,precomputationDuration
2020-10-09T23:37:13.707Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:37:21.938Z,2020-10-09T23:37:21.942Z,2020-10-09T23:37:22.889Z,4.390501022338867
2020-10-09T23:37:31.873Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:37:41.833Z,2020-10-09T23:37:41.837Z,2020-10-09T23:37:42.889Z,8.81336498260498
2020-10-09T23:37:51.818Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,10000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:38:02.304Z,2020-10-09T23:38:02.308Z,2020-10-09T23:38:03.389Z,8.717605948448181
2020-10-09T23:38:12.409Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,10000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:38:22.742Z,2020-10-09T23:38:22.747Z,2020-10-09T23:38:23.772Z,8.779397010803223
2020-10-09T23:38:37.095Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,15000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:38:50.532Z,2020-10-09T23:38:50.536Z,2020-10-09T23:38:51.524Z,13.041120052337646
2020-10-09T23:39:05.065Z,"iPhone12,3",14.0.0,original,receiver,10489137.0,15000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:39:18.318Z,2020-10-09T23:39:18.322Z,2020-10-09T23:39:19.275Z,13.286980032920837
2020-10-09T23:39:32.716Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,15000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:39:45.872Z,2020-10-09T23:39:45.875Z,2020-10-09T23:39:47.006Z,13.141021966934204
2020-10-09T23:39:47.154Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,100,1,,,,,,,,,,,,,,,,,,2020-10-09T23:39:52.929Z,2020-10-09T23:39:52.933Z,2020-10-09T23:39:53.828Z,0.08759701251983643
2020-10-09T23:39:53.953Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,100,10,,,,,,,,,,,,,,,,,,2020-10-09T23:39:59.721Z,2020-10-09T23:39:59.725Z,2020-10-09T23:40:00.667Z,0.08851003646850586
2020-10-09T23:40:00.794Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,100,20,,,,,,,,,,,,,,,,,,2020-10-09T23:40:06.583Z,2020-10-09T23:40:06.587Z,2020-10-09T23:40:07.519Z,0.0890040397644043
2020-10-09T23:40:08.464Z,"iPhone12,3",14.0.0,original,receiver,10489143.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:40:14.937Z,2020-10-09T23:40:14.943Z,2020-10-09T23:40:16.037Z,0.907431960105896
2020-10-09T23:40:16.977Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:40:23.345Z,2020-10-09T23:40:23.349Z,2020-10-09T23:40:24.455Z,0.8703920841217041
2020-10-09T23:40:25.445Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:40:31.751Z,2020-10-09T23:40:31.754Z,2020-10-09T23:40:32.835Z,0.8729649782180786
2020-10-09T23:40:37.369Z,"iPhone12,3",14.0.0,original,receiver,10489139.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:40:45.357Z,2020-10-09T23:40:45.363Z,2020-10-09T23:40:46.384Z,4.34935200214386
2020-10-09T23:40:50.868Z,"iPhone12,3",14.0.0,original,receiver,10489145.0,5000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:40:58.965Z,2020-10-09T23:40:58.968Z,2020-10-09T23:40:59.967Z,4.323819994926453
2020-10-09T23:41:04.474Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:41:12.092Z,2020-10-09T23:41:12.096Z,2020-10-09T23:41:13.087Z,4.352636933326721
2020-10-09T23:41:22.049Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,10000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:41:32.568Z,2020-10-09T23:41:32.573Z,2020-10-09T23:41:33.648Z,8.75255799293518
2020-10-09T23:41:42.584Z,"iPhone12,3",14.0.0,original,receiver,10489145.0,10000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:41:53.497Z,2020-10-09T23:41:53.501Z,2020-10-09T23:41:54.459Z,8.70758306980133
2020-10-09T23:42:03.379Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,10000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:42:13.458Z,2020-10-09T23:42:13.463Z,2020-10-09T23:42:14.394Z,8.70325493812561
2020-10-09T23:42:27.815Z,"iPhone12,3",14.0.0,original,receiver,10489139.0,15000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:42:40.143Z,2020-10-09T23:42:40.146Z,2020-10-09T23:42:41.240Z,13.171942949295044
2020-10-09T23:42:54.501Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,15000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:43:07.714Z,2020-10-09T23:43:07.720Z,2020-10-09T23:43:08.804Z,12.969818115234375
2020-10-09T23:43:22.035Z,"iPhone12,3",14.0.0,original,receiver,10489144.0,15000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:43:34.793Z,2020-10-09T23:43:34.797Z,2020-10-09T23:43:35.819Z,12.97294294834137
2020-10-09T23:43:35.987Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,100,1,,,,,,,,,,,,,,,,,,2020-10-09T23:43:41.587Z,2020-10-09T23:43:41.590Z,2020-10-09T23:43:42.520Z,0.08774101734161377
2020-10-09T23:43:42.636Z,"iPhone12,3",14.0.0,original,receiver,10489137.0,100,10,,,,,,,,,,,,,,,,,,2020-10-09T23:43:48.342Z,2020-10-09T23:43:48.346Z,2020-10-09T23:43:49.405Z,0.08680999279022217
2020-10-09T23:43:49.594Z,"iPhone12,3",14.0.0,original,receiver,10489141.0,100,20,,,,,,,,,,,,,,,,,,2020-10-09T23:43:55.184Z,2020-10-09T23:43:55.188Z,2020-10-09T23:43:56.233Z,0.08766210079193115
2020-10-09T23:43:57.209Z,"iPhone12,3",14.0.0,original,receiver,10489138.0,1000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:44:03.566Z,2020-10-09T23:44:03.570Z,2020-10-09T23:44:04.863Z,0.8673100471496582
2020-10-09T23:44:05.853Z,"iPhone12,3",14.0.0,original,receiver,10489137.0,1000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:44:12.031Z,2020-10-09T23:44:12.036Z,2020-10-09T23:44:12.959Z,0.8768199682235718
2020-10-09T23:44:13.892Z,"iPhone12,3",14.0.0,original,receiver,10489140.0,1000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:44:19.863Z,2020-10-09T23:44:19.866Z,2020-10-09T23:44:20.807Z,0.8776639699935913
2020-10-09T23:44:25.288Z,"iPhone12,3",14.0.0,original,receiver,10489146.0,5000,1,,,,,,,,,,,,,,,,,,2020-10-09T23:44:33.440Z,2020-10-09T23:44:33.445Z,2020-10-09T23:44:34.446Z,4.388175010681152
2020-10-09T23:44:38.893Z,"iPhone12,3",14.0.0,original,receiver,10489145.0,5000,10,,,,,,,,,,,,,,,,,,2020-10-09T23:44:47.052Z,2020-10-09T23:44:47.056Z,2020-10-09T23:44:47.989Z,4.343997001647949
2020-10-09T23:44:52.460Z,"iPhone12,3",14.0.0,original,receiver,10489142.0,5000,20,,,,,,,,,,,,,,,,,,2020-10-09T23:45:00.688Z,2020-10-09T23:45:00.692Z,2020-10-09T23:45:01.641Z,4.359315991401672
