startTime,Model,OSVersion,Protocol,Role,PayloadSize,NumberOfContacts,NumberOfIDs,NumberOfContactsPeer,NumberOfIDsPeer,StartVerifying,Verified,StartCalculatingV,CalculatedV,StartIntersecting,Intersected,StartCalculatingZ,CalculatedZ,StartCalculatingPOK,CalculatedPOK,PSICompleted,StartedBrowsingBonjour,DiscoveredReceiverBonjour,SendingStartPSIRequest,ReceivedStartPSIResponse,SendingFinishPSIRequest,ReceivedFinishPSIResponse,SendingDiscoverRequest,ReceivedDiscoverResponse,StartsSendingFile,UploadFinished,precomputationDuration,DiscoverCompleted
2020-10-11T20:43:54.902Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,15000,20,,,,,,,,,,,,,,2020-10-11T20:44:00.365Z,2020-10-11T20:44:00.370Z,,,,,2020-10-11T20:44:00.370Z,2020-10-11T20:44:00.479Z,2020-10-11T20:44:00.573Z,2020-10-11T20:44:01.501Z,20.137541890144348,2020-10-11T20:44:00.516Z
2020-10-11T20:44:01.671Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489148.0,100,1,,,,,,,,,,,,,,2020-10-11T20:44:07.112Z,2020-10-11T20:44:07.117Z,,,,,2020-10-11T20:44:07.117Z,2020-10-11T20:44:07.229Z,2020-10-11T20:44:07.321Z,2020-10-11T20:44:08.203Z,0.14465200901031494,2020-10-11T20:44:07.267Z
2020-10-11T20:44:08.379Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,100,10,,,,,,,,,,,,,,2020-10-11T20:44:13.876Z,2020-10-11T20:44:13.881Z,,,,,2020-10-11T20:44:13.881Z,2020-10-11T20:44:13.985Z,2020-10-11T20:44:14.075Z,2020-10-11T20:44:14.968Z,0.1434410810470581,2020-10-11T20:44:14.021Z
2020-10-11T20:44:15.154Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,100,20,,,,,,,,,,,,,,2020-10-11T20:44:20.654Z,2020-10-11T20:44:20.659Z,,,,,2020-10-11T20:44:20.659Z,2020-10-11T20:44:20.764Z,2020-10-11T20:44:20.867Z,2020-10-11T20:44:21.863Z,0.1378319263458252,2020-10-11T20:44:20.806Z
2020-10-11T20:44:23.259Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489140.0,1000,1,,,,,,,,,,,,,,2020-10-11T20:44:28.666Z,2020-10-11T20:44:28.671Z,,,,,2020-10-11T20:44:28.672Z,2020-10-11T20:44:28.777Z,2020-10-11T20:44:28.869Z,2020-10-11T20:44:29.670Z,1.3566550016403198,2020-10-11T20:44:28.817Z
2020-10-11T20:44:31.072Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489140.0,1000,10,,,,,,,,,,,,,,2020-10-11T20:44:36.501Z,2020-10-11T20:44:36.506Z,,,,,2020-10-11T20:44:36.506Z,2020-10-11T20:44:36.609Z,2020-10-11T20:44:36.701Z,2020-10-11T20:44:37.514Z,1.348554015159607,2020-10-11T20:44:36.647Z
2020-10-11T20:44:38.937Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,1000,20,,,,,,,,,,,,,,2020-10-11T20:44:44.366Z,2020-10-11T20:44:44.371Z,,,,,2020-10-11T20:44:44.372Z,2020-10-11T20:44:44.473Z,2020-10-11T20:44:44.566Z,2020-10-11T20:44:45.483Z,1.3574819564819336,2020-10-11T20:44:44.511Z
2020-10-11T20:44:52.290Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489140.0,5000,1,,,,,,,,,,,,,,2020-10-11T20:44:57.666Z,2020-10-11T20:44:57.672Z,,,,,2020-10-11T20:44:57.672Z,2020-10-11T20:44:57.777Z,2020-10-11T20:44:57.870Z,2020-10-11T20:44:58.767Z,6.696286082267761,2020-10-11T20:44:57.815Z
2020-10-11T20:45:05.645Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489141.0,5000,10,,,,,,,,,,,,,,2020-10-11T20:45:11.111Z,2020-10-11T20:45:11.115Z,,,,,2020-10-11T20:45:11.115Z,2020-10-11T20:45:11.222Z,2020-10-11T20:45:11.312Z,2020-10-11T20:45:12.124Z,6.754074931144714,2020-10-11T20:45:11.260Z
2020-10-11T20:45:18.993Z,"MacBookPro15,1",Version 10.15.7 (Build 19H2),original,sender,10489144.0,5000,20,,,,,,,,,,,,,,2020-10-11T20:45:24.378Z,2020-10-11T20:45:24.383Z,,,,,2020-10-11T20:45:24.384Z,2020-10-11T20:45:24.474Z,2020-10-11T20:45:24.556Z,2020-10-11T20:45:25.410Z,6.734121084213257,2020-10-11T20:45:24.511Z
